Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27_level_1,Arena,Attend.,Attend./G
1.0,UTA,28.5,52.0,20.0,55,17,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,,0.563,12.7,24.5,0.195,,0.507,10.3,79.3,0.159,,Vivint Smart Home Arena,151300.0,4203.0
2.0,LAC,28.8,47.0,25.0,49,23,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,,0.564,12.2,22.7,0.186,,0.531,11.9,79.1,0.186,,STAPLES Center,13901.0,386.0
3.0,PHO,26.6,51.0,21.0,49,23,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,,0.564,11.5,20.8,0.177,,0.534,12.4,78.5,0.194,,Phoenix Suns Arena,104027.0,2890.0
4.0,MIL,28.1,46.0,26.0,48,24,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,,0.566,12.0,23.3,0.177,,0.536,11.5,79.7,0.157,,Fiserv Forum,64780.0,1799.0
5.0,PHI,27.1,49.0,23.0,48,24,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,,0.541,12.8,23.2,0.225,,0.521,13.8,78.2,0.2,,Wells Fargo Center,68583.0,1905.0
6.0,DEN,26.1,47.0,25.0,47,25,4.93,-0.11,4.82,117.1,112.1,5.0,97.1,0.219,0.383,0.588,,0.557,12.1,24.7,0.176,,0.545,12.9,78.9,0.2,,Ball Arena,54563.0,1516.0
7.0,BRK,28.2,48.0,24.0,46,26,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,,0.575,12.2,21.4,0.208,,0.531,11.1,77.3,0.187,,Barclays Center,30491.0,847.0
8.0,LAL,28.2,42.0,30.0,42,30,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,,0.536,13.6,22.5,0.2,,0.526,13.7,79.7,0.184,,STAPLES Center,23313.0,648.0
9.0,DAL,26.3,42.0,30.0,41,31,2.26,-0.01,2.26,115.4,113.0,2.4,97.3,0.242,0.436,0.582,,0.55,11.1,21.1,0.189,,0.534,11.5,77.8,0.197,,American Airlines Center,94849.0,2635.0
10.0,NYK,25.6,41.0,31.0,41,31,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,,0.524,11.9,21.9,0.19,,0.509,11.7,78.6,0.196,,Madison Square Garden (IV),42131.0,1170.0
11.0,ATL,25.4,41.0,31.0,41,31,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,,0.539,11.9,24.4,0.226,,0.53,11.1,77.8,0.19,,State Farm Arena,59288.0,1647.0
12.0,POR,27.4,42.0,30.0,40,32,1.79,0.01,1.81,117.8,116.0,1.8,98.4,0.238,0.448,0.577,,0.54,9.9,23.0,0.195,,0.546,11.2,77.5,0.203,,Moda Center,5817.0,162.0
13.0,BOS,25.1,36.0,36.0,39,33,1.46,-0.14,1.32,114.0,112.5,1.5,98.3,0.234,0.409,0.574,,0.543,12.5,24.3,0.181,,0.539,12.8,78.1,0.215,,TD Garden,30067.0,835.0
14.0,GSW,26.7,39.0,33.0,38,34,1.06,0.04,1.1,111.1,110.1,1.0,102.2,0.239,0.439,0.583,,0.551,13.3,17.9,0.188,,0.522,13.1,76.6,0.223,,Chase Center,33457.0,929.0
15.0,MEM,24.2,38.0,34.0,38,34,1.03,0.04,1.07,112.0,111.0,1.0,100.4,0.232,0.342,0.56,,0.528,11.6,24.2,0.179,,0.535,13.1,78.3,0.196,,FedEx Forum,61449.0,1707.0
16.0,MIA,27.4,40.0,32.0,36,36,0.03,-0.09,-0.06,111.2,111.2,0.0,96.6,0.252,0.432,0.581,,0.546,13.1,19.4,0.199,,0.542,13.8,77.9,0.183,,AmericanAirlines Arena,,
17.0,IND,26.5,34.0,38.0,36,36,-0.04,-0.08,-0.13,112.4,112.4,0.0,101.6,0.227,0.372,0.575,,0.542,11.9,20.2,0.18,,0.531,12.7,74.9,0.201,,Bankers Life Fieldhouse,,
18.0,NOP,24.8,31.0,41.0,35,37,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,,0.537,12.7,26.3,0.214,,0.55,11.9,80.0,0.186,,Smoothie King Center,93120.0,2587.0
19.0,TOR,26.6,27.0,45.0,35,37,-0.47,-0.07,-0.54,112.0,112.5,-0.5,99.2,0.241,0.444,0.567,,0.529,11.9,20.8,0.196,,0.543,14.4,76.3,0.234,,Amalie Arena,26024.0,723.0
20.0,CHI,25.6,31.0,41.0,34,38,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,0.197,0.383,0.575,,0.547,13.6,22.3,0.156,,0.538,11.6,80.3,0.196,,United Center,13655.0,379.0
21.0,SAS,26.2,33.0,39.0,32,40,-1.74,0.15,-1.58,111.0,112.8,-1.8,98.9,0.243,0.314,0.554,,0.517,10.2,20.0,0.192,,0.541,11.8,77.3,0.174,,AT&T Center,61053.0,1696.0
22.0,WAS,26.6,34.0,38.0,32,40,-1.83,-0.01,-1.85,111.2,113.0,-1.8,104.1,0.288,0.319,0.569,,0.531,12.3,21.3,0.221,,0.539,12.5,77.6,0.217,,Capital One Arena,19198.0,533.0
23.0,CHO,24.6,33.0,39.0,32,40,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,,0.532,13.3,23.5,0.181,,0.55,13.2,75.7,0.163,,Spectrum Center,68255.0,1896.0
24.0,SAC,25.6,31.0,41.0,28,44,-3.68,0.23,-3.45,113.6,117.2,-3.6,100.0,0.248,0.376,0.578,,0.549,12.0,21.3,0.185,,0.557,12.1,75.0,0.199,,Golden 1 Center,,
25.0,DET,24.5,20.0,52.0,26,46,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,0.273,0.385,0.556,,0.519,13.5,21.9,0.207,,0.541,12.6,76.9,0.195,,Little Caesars Arena,14250.0,396.0
26.0,MIN,23.2,23.0,49.0,24,48,-5.56,0.31,-5.25,109.5,115.0,-5.5,101.6,0.254,0.413,0.555,,0.52,12.4,22.7,0.193,,0.556,13.3,76.8,0.207,,Target Center,15774.0,438.0
27.0,HOU,26.5,17.0,55.0,20,52,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,,0.521,13.0,19.8,0.187,,0.555,12.9,77.1,0.201,,Toyota Center,117009.0,3250.0
28.0,CLE,24.0,22.0,50.0,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,,0.508,13.9,23.6,0.194,,0.556,13.0,76.6,0.183,,Rocket Mortgage Fieldhouse,91476.0,2541.0
29.0,ORL,25.6,21.0,51.0,17,55,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,,0.49,11.5,21.6,0.186,,0.547,11.5,78.2,0.169,,Amway Center,126463.0,3513.0
30.0,OKC,22.8,22.0,50.0,15,57,-10.64,0.51,-10.13,103.5,114.0,-10.5,101.0,0.242,0.399,0.539,,0.509,14.2,21.2,0.176,,0.547,11.5,77.9,0.167,,Chesapeake Energy Arena,,
,League Average,26.3,,,36,36,0.0,0.0,0.0,112.3,112.3,,99.2,0.247,0.392,0.572,,0.538,12.4,22.2,0.192,,0.538,12.4,77.8,0.192,,,49476.0,1374.0
1.0,BOS,26.1,51.0,31.0,59,23,7.28,-0.26,7.02,114.4,106.9,7.5,96.6,0.239,0.425,0.578,,0.542,12.4,24.0,0.195,,0.502,12.5,77.3,0.183,,TD Garden,785396.0,19156.0
2.0,PHO,27.5,64.0,18.0,59,23,7.5,-0.56,6.94,114.8,107.3,7.5,99.8,0.221,0.354,0.581,,0.549,11.6,22.3,0.176,,0.51,13.0,77.1,0.195,,Phoenix Suns Arena,663171.0,16175.0
3.0,UTA,29.3,49.0,33.0,56,26,6.04,-0.37,5.67,116.7,110.5,6.2,97.1,0.271,0.468,0.589,,0.555,12.7,25.4,0.208,,0.521,10.9,78.3,0.164,,Vivint Smart Home Arena,750546.0,18306.0
4.0,MEM,24.0,56.0,26.0,55,27,5.68,-0.32,5.37,114.6,109.0,5.6,100.3,0.245,0.346,0.553,,0.522,11.2,30.0,0.18,,0.523,13.3,77.8,0.195,,FedEx Forum,646785.0,15775.0
5.0,GSW,27.6,53.0,29.0,55,27,5.54,-0.02,5.52,112.5,106.9,5.6,98.4,0.235,0.456,0.582,,0.552,13.5,22.8,0.181,,0.509,13.0,78.7,0.201,,Chase Center,740624.0,18064.0
6.0,MIA,28.2,53.0,29.0,53,29,4.45,-0.22,4.23,113.7,109.1,4.6,95.9,0.252,0.422,0.584,,0.547,13.4,23.5,0.204,,0.524,13.8,78.0,0.209,,FTX Arena,804761.0,19628.0
7.0,DAL,26.7,52.0,30.0,50,32,3.3,-0.18,3.12,112.8,109.4,3.4,95.4,0.249,0.439,0.572,,0.538,11.7,21.3,0.192,,0.521,12.2,78.0,0.185,,American Airlines Center,808037.0,19708.0
8.0,MIL,28.5,51.0,31.0,49,33,3.35,-0.14,3.22,115.1,111.8,3.3,99.9,0.257,0.43,0.58,,0.546,11.9,23.0,0.199,,0.536,11.6,78.6,0.165,,Fiserv Forum,715581.0,17453.0
9.0,PHI,26.8,51.0,31.0,48,34,2.61,-0.04,2.57,113.5,110.8,2.7,96.2,0.282,0.376,0.578,,0.534,11.6,20.1,0.232,,0.524,12.1,76.8,0.192,,Wells Fargo Center,846867.0,20655.0
10.0,MIN,24.2,46.0,36.0,48,34,2.63,-0.1,2.53,114.3,111.7,2.6,100.9,0.254,0.454,0.573,,0.539,12.4,24.4,0.198,,0.535,14.2,74.9,0.227,,Target Center,657148.0,16028.0
11.0,DEN,27.7,48.0,34.0,47,35,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,,0.556,13.2,21.9,0.194,,0.537,11.7,78.3,0.188,,Ball Arena,695262.0,16958.0
12.0,TOR,24.8,48.0,34.0,47,35,2.29,0.08,2.38,112.9,110.5,2.4,96.0,0.234,0.375,0.543,,0.51,11.0,28.4,0.177,,0.535,14.4,75.6,0.199,,Scotiabank Arena,547343.0,13350.0
13.0,CLE,24.7,44.0,38.0,47,35,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.571,,0.538,13.2,24.0,0.198,,0.52,12.3,76.5,0.172,,Rocket Mortgage Fieldhouse,758228.0,18493.0
14.0,ATL,26.1,43.0,39.0,45,37,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,,0.543,10.8,23.0,0.205,,0.543,11.5,76.9,0.177,,State Farm Arena,672742.0,16408.0
15.0,BRK,29.1,44.0,38.0,43,39,0.78,0.04,0.82,113.6,112.8,0.8,99.0,0.246,0.359,0.576,,0.54,12.5,23.9,0.198,,0.521,11.7,75.1,0.201,,Barclays Center,711539.0,17355.0
16.0,CHO,25.5,43.0,39.0,42,40,0.44,0.09,0.53,114.1,113.7,0.4,100.0,0.234,0.418,0.572,,0.544,11.6,23.3,0.173,,0.544,13.1,74.8,0.187,,Spectrum Center,700755.0,17092.0
17.0,SAS,24.5,34.0,48.0,41,41,0.12,-0.1,0.02,112.4,112.3,0.1,100.0,0.22,0.345,0.556,,0.527,11.1,23.7,0.166,,0.532,12.1,75.1,0.176,,AT&T Center,615588.0,15014.0
18.0,LAC,27.5,42.0,40.0,41,41,0.02,0.06,0.09,110.1,110.1,0.0,98.0,0.224,0.391,0.564,,0.531,12.5,20.6,0.178,,0.514,12.0,74.4,0.167,,Crypto.com Arena,694005.0,16927.0
19.0,NYK,26.0,37.0,45.0,41,41,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,0.28,0.428,0.55,,0.513,12.0,25.1,0.208,,0.521,11.7,78.8,0.198,,Madison Square Garden (IV),763484.0,18622.0
20.0,CHI,26.3,46.0,36.0,40,42,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,,0.541,11.8,20.4,0.201,,0.541,11.9,78.3,0.199,,United Center,856148.0,20882.0
21.0,NOP,25.6,36.0,46.0,38,44,-0.99,0.15,-0.84,112.0,113.0,-1.0,97.2,0.264,0.365,0.557,,0.517,12.5,26.9,0.208,,0.547,13.0,78.2,0.196,,Smoothie King Center,635941.0,15511.0
22.0,LAL,30.2,33.0,49.0,33,49,-3.05,-0.03,-3.08,110.3,113.3,-3.0,100.1,0.259,0.388,0.567,,0.537,12.8,21.1,0.19,,0.54,12.2,75.8,0.192,,Crypto.com Arena,764631.0,18650.0
23.0,WAS,25.9,35.0,47.0,32,50,-3.38,0.15,-3.23,111.1,114.5,-3.4,97.0,0.252,0.356,0.568,,0.532,12.1,20.9,0.197,,0.529,10.7,76.9,0.202,,Capital One Arena,637215.0,15542.0
24.0,IND,26.0,25.0,57.0,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98.0,0.239,0.395,0.564,,0.531,12.7,25.5,0.184,,0.552,11.9,76.2,0.204,,Gainbridge Fieldhouse,588743.0,14360.0
25.0,SAC,25.8,30.0,52.0,28,54,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,,0.525,12.5,21.3,0.203,,0.551,11.9,76.0,0.176,,Golden 1 Center,577583.0,14087.0
26.0,DET,23.6,23.0,59.0,22,60,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,0.249,0.391,0.533,,0.494,12.6,23.4,0.194,,0.541,13.1,75.6,0.226,,Little Caesars Arena,663556.0,16184.0
27.0,ORL,23.3,22.0,60.0,21,61,-8.0,0.33,-7.67,104.5,112.5,-8.0,99.2,0.223,0.417,0.538,,0.503,13.0,19.8,0.175,,0.532,11.7,77.2,0.196,,Amway Center,622881.0,15192.0
28.0,OKC,22.4,24.0,58.0,21,61,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.6,0.223,0.419,0.53,,0.497,12.5,21.8,0.169,,0.533,11.8,76.1,0.169,,Paycom Center,595112.0,14515.0
29.0,HOU,24.1,20.0,62.0,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,,0.534,14.5,21.7,0.202,,0.554,12.3,74.4,0.206,,Toyota Center,638977.0,15585.0
30.0,POR,25.6,27.0,55.0,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,,0.515,13.0,22.9,0.188,,0.559,12.7,76.9,0.222,,Moda Center,705608.0,17210.0
