Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27_level_1,Arena,Attend.,Attend./G
,League Average,26.3,,,41,41,0.0,0.0,0.0,112.0,112.0,,98.2,0.248,0.399,0.566,,0.532,12.3,23.2,0.192,,0.532,12.3,76.8,0.192,,,695475.0,16963.0
1.0,BOS,27.4,57.0,25.0,57,25,6.52,-0.15,6.38,118.0,111.5,6.5,98.5,0.243,0.48,0.6,,0.566,12.0,22.1,0.197,,0.528,11.3,78.5,0.18,,TD Garden,785396.0,19156.0
2.0,CLE,25.4,51.0,31.0,55,27,5.38,-0.15,5.23,116.1,110.6,5.5,95.7,0.264,0.371,0.59,,0.556,12.3,23.6,0.206,,0.535,14.4,76.3,0.21,,Rocket Mortgage Fieldhouse,777280.0,18958.0
3.0,PHI,28.2,54.0,28.0,52,30,4.32,0.06,4.37,117.7,113.3,4.4,96.9,0.3,0.389,0.608,,0.563,12.6,21.6,0.25,,0.541,13.0,77.2,0.217,,Wells Fargo Center,839261.0,20470.0
4.0,MEM,24.4,51.0,31.0,51,31,3.94,-0.34,3.6,115.1,111.2,3.9,101.1,0.259,0.372,0.57,,0.54,11.7,26.5,0.19,,0.526,13.1,75.9,0.206,,FedEx Forum,707836.0,17264.0
5.0,MIL,29.8,58.0,24.0,50,32,3.63,-0.02,3.61,115.4,111.9,3.5,100.5,0.248,0.446,0.583,,0.555,12.7,25.0,0.184,,0.52,10.4,77.8,0.175,,Fiserv Forum,718786.0,17531.0
6.0,DEN,26.6,53.0,29.0,49,33,3.33,-0.29,3.04,117.6,114.2,3.4,98.1,0.259,0.361,0.601,,0.573,13.1,24.8,0.194,,0.543,12.2,76.4,0.201,,Ball Arena,788635.0,19235.0
7.0,NYK,24.5,47.0,35.0,48,34,2.93,0.06,2.99,117.8,114.8,3.0,97.1,0.285,0.4,0.577,,0.541,11.4,28.3,0.217,,0.536,11.4,77.1,0.21,,Madison Square Garden (IV),795110.0,19393.0
8.0,SAC,25.4,48.0,34.0,47,35,2.65,-0.35,2.3,119.4,116.8,2.6,100.3,0.284,0.423,0.608,,0.572,12.0,22.7,0.225,,0.563,12.6,77.2,0.203,,Golden 1 Center,715491.0,17451.0
9.0,PHO,28.1,45.0,37.0,46,36,2.07,0.01,2.08,115.1,113.0,2.1,98.2,0.241,0.362,0.57,,0.535,12.0,26.6,0.191,,0.532,12.9,76.0,0.234,,Footprint Center,699911.0,17071.0
10.0,NOP,25.9,42.0,40.0,46,36,1.89,-0.26,1.63,114.4,112.5,1.9,99.1,0.279,0.344,0.582,,0.543,12.9,24.7,0.221,,0.543,13.4,77.4,0.212,,Smoothie King Center,687691.0,16773.0
11.0,GSW,27.3,44.0,38.0,45,37,1.8,-0.15,1.66,116.1,114.4,1.7,101.6,0.224,0.479,0.6,,0.571,14.1,24.4,0.178,,0.54,12.3,76.0,0.214,,Chase Center,740624.0,18064.0
12.0,TOR,25.8,41.0,41.0,45,37,1.48,0.12,1.59,115.5,114.0,1.5,97.1,0.257,0.351,0.555,,0.517,10.3,27.8,0.201,,0.565,15.3,76.7,0.223,,Scotiabank Arena,811261.0,19787.0
13.0,CHI,27.5,40.0,42.0,44,38,1.29,0.07,1.37,113.5,112.2,1.3,98.5,0.251,0.333,0.587,,0.55,12.2,20.1,0.203,,0.544,13.5,77.8,0.197,,United Center,841632.0,20528.0
14.0,OKC,22.8,40.0,42.0,44,38,1.09,-0.12,0.96,115.2,114.2,1.0,101.1,0.256,0.369,0.57,,0.531,11.2,24.7,0.207,,0.547,14.4,72.9,0.222,,Paycom Center,636903.0,15534.0
15.0,BRK,28.0,45.0,37.0,43,39,0.85,0.18,1.03,115.0,114.1,0.9,98.3,0.26,0.397,0.598,,0.562,12.7,19.6,0.208,,0.53,12.2,73.7,0.212,,Barclays Center,724439.0,17669.0
16.0,LAL,27.9,43.0,39.0,42,40,0.57,-0.15,0.43,114.5,113.9,0.6,101.3,0.299,0.351,0.582,,0.542,12.3,22.8,0.232,,0.535,10.9,76.3,0.171,,Crypto.com Arena,763168.0,18614.0
17.0,LAC,29.7,44.0,38.0,42,40,0.5,-0.19,0.31,115.0,114.5,0.5,98.0,0.278,0.387,0.588,,0.551,12.8,22.9,0.217,,0.543,11.7,76.6,0.195,,Crypto.com Arena,720543.0,17574.0
18.0,ATL,24.9,41.0,41.0,42,40,0.29,0.02,0.32,116.6,116.3,0.3,100.7,0.244,0.331,0.579,,0.541,11.2,25.1,0.2,,0.552,12.4,75.8,0.206,,State Farm Arena,719787.0,17556.0
19.0,DAL,27.8,38.0,44.0,41,41,0.07,-0.22,-0.14,116.8,116.7,0.1,96.6,0.298,0.487,0.599,,0.565,11.4,18.0,0.225,,0.549,11.9,75.5,0.226,,American Airlines Center,827282.0,20178.0
20.0,MIN,25.8,42.0,40.0,41,41,-0.04,-0.18,-0.22,113.7,113.8,-0.1,101.0,0.271,0.381,0.592,,0.56,13.6,21.5,0.205,,0.54,13.3,74.3,0.225,,Target Center,687510.0,16769.0
21.0,MIA,27.7,44.0,38.0,40,42,-0.32,0.18,-0.13,113.0,113.3,-0.3,96.3,0.27,0.408,0.574,,0.53,12.4,22.8,0.224,,0.561,14.5,77.7,0.198,,Kaseya Center,807190.0,19688.0
22.0,UTA,26.5,37.0,45.0,39,43,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,0.265,0.421,0.584,,0.547,13.3,26.8,0.209,,0.541,10.9,75.2,0.205,,Vivint Arena,728240.0,17762.0
23.0,WAS,26.2,35.0,47.0,38,44,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,,0.55,12.7,22.6,0.202,,0.54,11.0,76.1,0.194,,Capital One Arena,710481.0,17329.0
24.0,ORL,23.1,34.0,48.0,35,47,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,,0.532,13.4,23.8,0.227,,0.55,13.1,77.7,0.211,,Amway Center,728405.0,17766.0
25.0,IND,24.5,35.0,47.0,33,49,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,0.265,0.413,0.581,,0.545,13.0,23.4,0.209,,0.554,13.0,72.2,0.229,,Gainbridge Fieldhouse,641562.0,15648.0
26.0,POR,25.1,33.0,49.0,31,51,-4.01,0.05,-3.96,114.8,118.8,-4.0,98.6,0.289,0.413,0.589,,0.549,13.1,22.4,0.23,,0.563,12.1,74.9,0.217,,Moda Center,767374.0,18716.0
27.0,CHO,25.3,27.0,55.0,26,56,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,,0.516,12.3,23.8,0.195,,0.544,12.5,75.5,0.211,,Spectrum Center,702052.0,17123.0
28.0,HOU,22.1,22.0,60.0,23,59,-7.85,0.24,-7.62,111.4,119.3,-7.9,99.0,0.285,0.359,0.554,,0.516,14.0,30.2,0.215,,0.564,11.8,75.8,0.218,,Toyota Center,668865.0,16314.0
29.0,DET,24.1,17.0,65.0,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99.0,0.295,0.372,0.561,,0.52,13.3,24.9,0.227,,0.557,11.9,74.0,0.231,,Little Caesars Arena,759715.0,18596.0
30.0,SAS,23.9,22.0,60.0,19,63,-10.04,0.22,-9.82,110.2,120.0,-9.8,101.6,0.229,0.348,0.554,,0.525,13.0,25.6,0.17,,0.576,12.0,74.9,0.201,,AT&T Center,694434.0,15508.0
,League Average,26.3,,,41,41,0.0,0.0,0.0,114.8,114.8,,99.1,0.266,0.387,0.581,,0.545,12.5,24.0,0.208,,0.545,12.5,76.0,0.208,,,739895.0,18008.0
1.0,BOS,28.2,64.0,18.0,66,16,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,,0.578,10.8,24.9,0.18,,0.523,10.8,76.3,0.145,,TD Garden,785396.0,19156.0
2.0,OKC,23.4,57.0,25.0,58,24,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,,0.573,11.4,21.1,0.198,,0.53,13.6,73.8,0.202,,Paycom Center,715509.0,17451.0
3.0,MIN,27.2,56.0,26.0,57,25,6.45,-0.07,6.39,115.6,109.0,6.6,97.1,0.27,0.384,0.594,,0.559,13.0,23.2,0.209,,0.515,12.9,76.9,0.197,,Target Center,720960.0,17584.0
4.0,DEN,27.1,57.0,25.0,54,28,5.26,-0.03,5.23,118.5,113.0,5.5,96.8,0.224,0.352,0.589,,0.562,11.5,25.5,0.17,,0.526,11.2,75.6,0.195,,Ball Arena,807062.0,19684.0
5.0,NYK,26.4,50.0,32.0,53,29,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,,0.54,11.9,29.4,0.192,,0.543,12.3,76.1,0.176,,Madison Square Garden (IV),808885.0,19729.0
6.0,NOP,26.0,49.0,33.0,52,30,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,,0.558,11.8,24.4,0.202,,0.541,12.9,76.9,0.186,,Smoothie King Center,692054.0,17301.0
7.0,LAC,30.4,51.0,31.0,49,33,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,,0.561,12.0,24.4,0.211,,0.541,11.7,74.8,0.183,,Crypto.com Arena,776782.0,18946.0
8.0,PHI,28.4,47.0,35.0,49,33,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,,0.532,10.7,24.8,0.218,,0.537,13.1,74.3,0.215,,Wells Fargo Center,821714.0,20042.0
9.0,PHO,29.3,49.0,33.0,49,33,3.06,0.02,3.08,117.6,114.6,3.0,98.3,0.271,0.378,0.603,,0.565,13.4,25.0,0.219,,0.536,11.3,75.6,0.178,,Footprint Center,699911.0,17071.0
10.0,IND,25.3,47.0,35.0,48,34,3.05,-0.3,2.75,121.0,118.0,3.0,101.7,0.222,0.38,0.606,,0.578,11.3,23.8,0.173,,0.556,12.1,74.1,0.228,,Gainbridge Fieldhouse,677554.0,16526.0
11.0,GSW,28.4,46.0,36.0,47,35,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,,0.557,12.5,27.5,0.171,,0.539,11.5,76.1,0.195,,Chase Center,740624.0,18064.0
12.0,MIL,30.2,49.0,33.0,47,35,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,,0.568,11.5,21.8,0.209,,0.539,10.6,77.2,0.189,,Fiserv Forum,740850.0,17659.0
13.0,CLE,26.2,48.0,34.0,47,35,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,,0.557,12.4,23.2,0.179,,0.535,12.3,76.9,0.19,,Rocket Mortgage Fieldhouse,793167.0,19432.0
14.0,DAL,26.5,50.0,32.0,46,36,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,,0.562,11.2,22.2,0.19,,0.548,12.1,75.2,0.184,,American Airlines Center,828897.0,20217.0
15.0,ORL,24.0,47.0,35.0,46,36,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,,0.541,13.3,25.3,0.218,,0.543,13.8,78.1,0.206,,Kia Center,773939.0,18849.0
16.0,MIA,28.0,46.0,36.0,46,36,1.76,-0.66,1.1,114.0,112.2,1.8,96.2,0.257,0.394,0.578,,0.538,11.7,21.8,0.21,,0.543,12.7,78.1,0.174,,Kaseya Center,809743.0,19750.0
17.0,SAC,26.4,46.0,36.0,45,37,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,,0.556,11.6,24.5,0.171,,0.555,12.5,78.4,0.213,,Golden 1 Center,735015.0,17927.0
18.0,HOU,25.1,41.0,41.0,44,38,1.12,0.12,1.24,114.5,113.4,1.1,99.0,0.257,0.397,0.565,,0.529,11.2,25.1,0.199,,0.533,12.2,76.0,0.219,,Toyota Center,720045.0,17562.0
19.0,LAL,28.0,47.0,35.0,42,40,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,,0.566,12.5,19.9,0.216,,0.55,11.7,76.2,0.153,,Crypto.com Arena,793945.0,18925.0
20.0,CHI,28.1,39.0,43.0,37,45,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,,0.534,11.0,25.1,0.187,,0.556,12.7,76.4,0.195,,United Center,845620.0,20625.0
21.0,ATL,26.2,36.0,46.0,36,46,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,,0.539,11.6,27.1,0.2,,0.572,12.4,75.2,0.192,,State Farm Arena,696418.0,16986.0
22.0,BRK,26.1,32.0,50.0,34,48,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,,0.531,11.8,25.2,0.177,,0.543,11.4,76.0,0.193,,Barclays Center,720291.0,17568.0
23.0,UTA,25.1,31.0,51.0,29,53,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,,0.539,13.6,28.1,0.209,,0.567,10.9,75.2,0.182,,Delta Center,746446.0,18206.0
24.0,SAS,23.0,22.0,60.0,26,56,-6.49,0.69,-5.8,110.0,116.4,-6.4,101.1,0.22,0.401,0.563,,0.532,13.2,22.9,0.172,,0.555,11.7,76.4,0.174,,Frost Bank Center,742522.0,18211.0
25.0,TOR,25.9,25.0,57.0,26,56,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,,0.535,12.4,24.2,0.182,,0.566,12.2,73.9,0.172,,Scotiabank Arena,800129.0,19515.0
26.0,MEM,24.4,27.0,55.0,24,58,-7.0,0.43,-6.57,107.2,114.3,-7.1,98.2,0.238,0.428,0.543,,0.509,13.4,23.8,0.182,,0.551,13.5,74.8,0.195,,FedEx Forum,681875.0,16631.0
27.0,DET,23.8,14.0,68.0,20,62,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,,0.526,13.5,23.9,0.193,,0.558,11.1,77.3,0.221,,Little Caesars Arena,726378.0,18159.0
28.0,WAS,24.9,15.0,67.0,20,62,-9.29,0.0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,,0.538,12.2,20.0,0.169,,0.562,12.0,72.5,0.201,,Capital One Arena,692851.0,16899.0
29.0,POR,24.1,21.0,61.0,20,62,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,,0.503,13.4,27.5,0.181,,0.558,12.8,74.0,0.216,,Moda Center,751395.0,18327.0
30.0,CHO,25.1,21.0,61.0,18,64,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,,0.529,12.6,21.1,0.167,,0.572,12.3,74.5,0.188,,Spectrum Center,674400.0,16449.0
,League Average,26.6,,,41,41,0.0,0.0,0.0,115.3,115.3,,98.5,0.244,0.395,0.58,,0.547,12.1,24.2,0.192,,0.547,12.1,75.8,0.192,,,750679.0,18315.0
